Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",55.000000,-114.000000,180.000000,top
"C2","10uF","C_0805_2012Metric",55.000000,-116.250000,180.000000,top
"C6","100nF","C_0402_1005Metric",77.150000,-114.700000,0.000000,top
"C7","100nF","C_0402_1005Metric",77.150000,-118.700000,0.000000,top
"C8","100nF","C_0402_1005Metric",136.850000,-69.000000,0.000000,top
"C9","100uF 35V","C_Elec_6.3x7.7",144.000000,-88.150000,270.000000,top
"C38","100nF","C_0402_1005Metric",70.190000,-95.750000,270.000000,top
"C39","100uF 35V","C_Elec_6.3x7.7",78.500000,-95.000000,0.000000,top
"C40","100uF 35V","C_Elec_6.3x7.7",78.500000,-102.750000,0.000000,top
"C41","22uF","C_0805_2012Metric",74.450000,-58.500000,90.000000,top
"D1","SD12_SOD323","D_SOD-323",55.000000,-111.750000,180.000000,top
"D2","SMBJ24CA","D_SMB_Handsoldering",66.750000,-133.500000,180.000000,top
"D3","LED_RED","LED_0805_2012Metric",60.437500,-110.200000,0.000000,top
"D4","LED_RED","LED_0805_2012Metric",67.000000,-110.200000,180.000000,top
"D5","1N4148WS","D_SOD-323F",111.750000,-118.250000,0.000000,top
"L1","NR3015T-2R2M","L_Taiyo-Yuden_NR-3015_HandSoldering_Narrow",65.250000,-113.700000,0.000000,top
"Q1","DMN3190LDW","SOT-363_SC-70-6",66.000000,-64.200000,270.000000,top
"R1","2.2k","R_0402_1005Metric",63.000000,-110.200000,90.000000,top
"R2","1k","R_0402_1005Metric",64.500000,-110.200000,90.000000,top
"R3","4.7k","R_0402_1005Metric",62.265000,-81.000000,0.000000,top
"R4","4.7k","R_0402_1005Metric",62.265000,-77.250000,0.000000,top
"U3","SP3232EEY-L","TSSOP-16_4.4x5mm_P0.65mm",138.750000,-74.250000,90.000000,top
"U4","74HC4049","SOIC-16_3.9x9.9mm_P1.27mm",68.500000,-74.250000,0.000000,top
"U5","TM1638","SOIC-28W_7.5x17.9mm_P1.27mm",131.000000,-109.250000,0.000000,top
"U6","DRV8840PWP","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_3D",67.250000,-90.000000,90.000000,top
"U7","MB85RC16PNF-G","SOIC-8_3.9x4.9mm_P1.27mm",136.250000,-54.620000,180.000000,top
"U8","ESP32-WROOM-32E (4MB)","ESP32-WROOM-32E",100.000000,-65.865000,0.000000,top
